UF Inventory Number,Type,Manufacturer,Model,Description,Serial Number,Location,Room,Manual,Last Calibrated,Calibration Doc,Calibration Expires,OCO Decal No.,Source Grant
,Connector Block,National Instruments,SCXI-1314,Front-Mounting Terminal Block for use with SCXI-1520,104A5C2,Coastal,,,,,,,
,Connector Block,National Instruments,SCXI-1314,Front-Mounting Terminal Block for use with SCXI-1520,104A5EA,Coastal,,,,,,,
,Connector Block,National Instruments,SCXI-1315,Front Mounting Terminal Block for use with NI SCXI-1540,16DC48C,Powell,125,,,,,,
,Connector Block,National Instruments,SCXI-1315,Front Mounting Terminal Block for use with NI SCXI-1540,C6B51E,Weil,112,,,,,,
,Connector Block,National Instruments,SCXI-1320,Temperature Sensor Terminal Block for use with the SCXI1120/1120D/1121/1125/1126,CEOFB0,Weil,112,,,,,,
,Data Acquisition,"Campbell Scientific, Inc.",CR10,DAQ,1270,Coastal,,X,,,,,
4910-AA-160978,Digital DAQ,Geokon,8020,DAQ,512,Coastal,,X,,,,,
631938,Display - Load Cell,Schaevitz Engineering,2291221,Load Cell Display,914,Weil,112,,,,,,
,Function Generator,BK Precision,4040A,Sweep/Function Generator,,Powell,100,X,,,,,
,LCD Display,Omega,DP41-S-DL-S2,LCD Display,"""P0013""",Powell,101,X,,,,,
,LCD Display,Omega,DP41-S-DL-S2,LCD Display,"""P0014""",Powell,101,X,,,,,
,Load Cell Display,Omega,DP41-E,Load Cell Display,,Weil,112,X,,,,,
,Load Cell Display,Omega,DP41-E,Load Cell Display,3290849,Weil,112,X,,,,,
,Load Cell Display,Omega,DP41-S-DC,Load Cell Display,7051002,Weil,112,X,,,,,
,Logic Analyzer,Dynon Instruments,Elab-080,Logic Analyzer,0001476,Powell,101,X,,,,,
,Monitor,Nebtek,,Display Screen,1279,Powell,101,,,,,,
,Multifunction DAQ,Acumon Instruments,,Mini DAQ,"""P0009""",Powell,101,,,,,,
,Multifunction DAQ,Measurement Computing,USB-1608F5,DAQ,14FF142,Coastal,,,,,,,
,Multifunction DAQ,Measurement Computing,,DAQ,,Coastal,,,,,,,
,Multifunction DAQ,National Instruments,188035B-01,DAQCard 6036E,D83944,Coastal,,X,,,,,
,Multifunction DAQ,National Instruments,189761A-01,PCI-8232,128F328,Powell,101,X,,,,,
,Multifunction DAQ,National Instruments,189761A-01,PCI-8232,12BF4E1,Powell,101,X,,,,,
,Multifunction DAQ,National Instruments,190315J-01,DAQ Module,19700DE,Powell,101,,,,,,
,Multifunction DAQ,National Instruments,198851C-01L,DAQ Module,1954B32,Powell,101,,,,,,
,Multifunction DAQ,National Instruments,198851C-01L,DAQ Module,1972C08,Powell,101,,,,,,
,Multifunction DAQ,National Instruments,198851C-01L,DAQ Module,1972C38,Powell,101,,,,,,
,Multifunction DAQ,National Instruments,198856B-01L,DAQ Module,196595E,Powell,101,,,,,,
,Multifunction DAQ,National Instruments,8360,Express Card,12FF533,Powell,101,X,,,,,
,Multifunction DAQ,National Instruments,9162,Hi-Speed USB Carrier,151FDFE,Weil,128,X,,,,,
,Multifunction DAQ,National Instruments,9205,DAQ Module,13B1184,Powell,101,X,,,,,
,Multifunction DAQ,National Instruments,9205,DAQ Module,19700CA,Powell,T2,X,,,,,
,Multifunction DAQ,National Instruments,9205,DAQ Module,19801E7,Powell,T5,X,,,,,
,Multifunction DAQ,National Instruments,9205,DAQ Module,19801A9,Powell,T1,X,,,,,
,Multifunction DAQ,National Instruments,9205,DAQ Module,13689A6,Weil,112,X,,,,,
,Multifunction DAQ,National Instruments,9205,Data Acquisition Module,,NEB,382,X,,,,,
,Multifunction DAQ,National Instruments,9211,DAQ Module,15CDDB1,Weil,128,X,,,,,
,Multifunction DAQ,National Instruments,9211,DAQ Module,13237D7,Weil,128,X,,,,,
,Multifunction DAQ,National Instruments,9211,DAQ Module,132368A,Weil,128,X,,,,,
,Multifunction DAQ,National Instruments,9211,Data Acquisition Module,1323612,Weil,112,X,,,,,
,Multifunction DAQ,National Instruments,9211,Data Acquisition Module,15CDDEB,Weil,112,X,,,,,
,Multifunction DAQ,National Instruments,9211,Data Acquisition Module,15CDD6E,Weil,112,X,,,,,
,Multifunction DAQ,National Instruments,9219,DAQ Module,EA6B91,Powell,101,X,,,,,
,Multifunction DAQ,National Instruments,9219,DAQ Module,EACF88,Weil,128,X,,,,,
000000249782,Multifunction DAQ,National Instruments,9219,DAQ Module,EB53DD,Weil,112,X,,,,,
,Multifunction DAQ,National Instruments,9219,DAQ Module,13F0CCA,Weil,112,X,,,,,
,Multifunction DAQ,National Instruments,9219,DAQ Module,1695A7B,Weil,112,X,,,,,
,Multifunction DAQ,National Instruments,9219,Data Acquisition Module,,NEB,382,X,,,,,
,Multifunction DAQ,National Instruments,9219,Data Acquisition Module,15379DB,Weil,112,X,,,,,
,Multifunction DAQ,National Instruments,9219,Data Acquisition Module,15CDEA6,Weil,112,X,,,,,
,Multifunction DAQ,National Instruments,9234,DAQ Module,16A9A9C,Powell,125,X,,,,,
,Multifunction DAQ,National Instruments,9234,DAQ Module,16A9AB8,Powell,125,X,,,,,
,Multifunction DAQ,National Instruments,9234,DAQ Module,16A9AC1,Powell,125,X,,,,,
,Multifunction DAQ,National Instruments,9234,DAQ Module,16A9AA5,Powell,125,X,,,,,
,Multifunction DAQ,National Instruments,9234,DAQ Module,16A9AAF,Powell,125,X,,,,,
,Multifunction DAQ,National Instruments,9236,DAQ Module,1687228,Powell,125,X,,,,,
,Multifunction DAQ,National Instruments,9237,Data Acquisition Module,E5A49F,Weil,112,X,,,,,
,Multifunction DAQ,National Instruments,9265,DAQ Module,134E985,Powell,101,X,,,,,
,Multifunction DAQ,National Instruments,9401,DAQ Module,16C87AD,Powell,101,X,,,,,
,Multifunction DAQ,National Instruments,9401,DAQ Module,136F41D,Weil,128,X,,,,,
,Multifunction DAQ,National Instruments,9401,Data Acquisition Module,,NEB,382,X,,,,,
,Multifunction DAQ,National Instruments,9472,DAQ Module,1478FF8,Powell,101,X,,,,,
,Multifunction DAQ,National Instruments,9871,DAQ Module,1972C18,Powell,T2,X,,,,,
,Multifunction DAQ,National Instruments,9871,DAQ Module,1972C0F,Powell,T2,X,,,,,
,Multifunction DAQ,National Instruments,9977,DAQ Module,192C04E,Powell,T2,X,,,,,
,Multifunction DAQ,National Instruments,9977,DAQ Module,192C04D,Powell,T5,X,,,,,
,Multifunction DAQ,National Instruments,9977,DAQ Module,192C04F,Powell,T5,X,,,,,
,Multifunction DAQ,National Instruments,9977,DAQ Module,192C08B,Powell,T5,X,,,,,
,Multifunction DAQ,National Instruments,9977,DAQ Module,192C082,Powell,T1,X,,,,,
,Multifunction DAQ,National Instruments,9977,DAQ Module,192C04B,Powell,T1,X,,,,,
,Multifunction DAQ,National Instruments,9977,DAQ Module,192C08D,Powell,T1,X,,,,,
,Multifunction DAQ,National Instruments,9977,DAQ Module,137BF8D,Weil,128,X,,,,,
,Multifunction DAQ,National Instruments,BNC-2110,DAQ,10A98BF,Powell,101,X,,,,,
,Multifunction DAQ,National Instruments,BNC-2115,DAQ,1739901,Powell,101,X,,,,,
